site_id,month,days_ar,denial_rate
S004,2020-08-01,22.51,4.35
S004,2020-09-01,21.08,4.19
S004,2020-10-01,22.16,4.23
S004,2020-11-01,21.87,4.54
S004,2020-12-01,23.56,5.11
S004,2021-01-01,20.97,5.13
S004,2021-02-01,27.54,4.29
S004,2021-03-01,25.43,4.85
S004,2021-04-01,23.56,4.68
S004,2021-05-01,23.28,5.33
S004,2021-06-01,25.35,5.04
S004,2021-07-01,24.03,4.17
S004,2021-08-01,18.01,4.14
S004,2021-09-01,16.7,4.17
S004,2021-10-01,18.44,3.88
S004,2021-11-01,20.6,4.24
S004,2021-12-01,19.99,4.6
S004,2022-01-01,19.91,4.59
S004,2022-02-01,23.15,4.42
S004,2022-03-01,23.02,4.18
S004,2022-04-01,23.65,4.46
S004,2022-05-01,20.75,4.72
S004,2022-06-01,19.48,3.83
S004,2022-07-01,17.2,4.29
S004,2022-08-01,16.88,4.52
S004,2022-09-01,15.41,4.47
S004,2022-10-01,19.12,3.97
S004,2022-11-01,18.72,4.23
S004,2022-12-01,20.48,4.59
S004,2023-01-01,21.7,4.45
S004,2023-02-01,21.72,4.5
S004,2023-03-01,22.99,4.04
S004,2023-04-01,20.24,4.74
S004,2023-05-01,21.79,4.35
S004,2023-06-01,21.44,4.11
S004,2023-07-01,19.6,3.62
S004,2023-08-01,19.98,3.45
S004,2023-09-01,20.03,3.19
S004,2023-10-01,21.23,3.89
S004,2023-11-01,20.8,4.15
S004,2023-12-01,23.91,4.31
S004,2024-01-01,19.65,3.77
S004,2024-02-01,22.21,4.27
S004,2024-03-01,23.69,4.14
S004,2024-04-01,22.92,4.09
S004,2024-05-01,20.99,3.79
S004,2024-06-01,19.53,3.65
S004,2024-07-01,18.45,4.23
S004,2024-08-01,17.75,4.59
S004,2024-09-01,19.65,3.81
S004,2024-10-01,17.89,4.01
S004,2024-11-01,19.05,3.95
S004,2024-12-01,24.75,4.03
S005,2019-01-01,36.1,7.01
S005,2019-02-01,35.05,7.86
S005,2019-03-01,34.43,7.91
S005,2019-04-01,36.17,7.16
S005,2019-05-01,35.32,7.51
S005,2019-06-01,34.3,6.6
S005,2019-07-01,31.28,6.84
S005,2019-08-01,31.53,6.99
S005,2019-09-01,31.64,6.37
S005,2019-10-01,32.21,6.99
S005,2019-11-01,33.21,7.24
S005,2019-12-01,34.62,7.2
S005,2020-01-01,34.27,6.72
S005,2020-02-01,35.75,7.39
S005,2020-03-01,35.78,6.98
S005,2020-04-01,33.48,7.64
S005,2020-05-01,34.31,7.42
S005,2020-06-01,33.41,7.08
S005,2020-07-01,33.78,6.76
S005,2020-08-01,31.78,6.67
S005,2020-09-01,30.72,6.67
S005,2020-10-01,31.97,6.66
S005,2020-11-01,34.26,6.65
S005,2020-12-01,33.09,6.93
S005,2021-01-01,36.54,7.28
S005,2021-02-01,36.65,6.88
S005,2021-03-01,35.77,7.63
S005,2021-04-01,35.23,7.65
S005,2021-05-01,33.6,7.64
S005,2021-06-01,36.82,6.96
S005,2021-07-01,31.7,7.35
S005,2021-08-01,34.01,6.65
S005,2021-09-01,30.74,6.68
S005,2021-10-01,29.62,6.53
S005,2021-11-01,30.87,6.69
S005,2021-12-01,33.32,7.14
S005,2022-01-01,36.7,6.92
S005,2022-02-01,36.58,7.26
S005,2022-03-01,35.3,7.57
S005,2022-04-01,33.42,7.44
S005,2022-05-01,34.62,7.36
S005,2022-06-01,33.81,7.8
S005,2022-07-01,31.42,6.76
S005,2022-08-01,30.71,6.64
S005,2022-09-01,30.42,7.12
S005,2022-10-01,33.77,6.64
S005,2022-11-01,31.12,7.06
S005,2022-12-01,32.54,7.26
S005,2023-01-01,32.57,6.36
S005,2023-02-01,35.32,7.47
S005,2023-03-01,32.35,6.85
S005,2023-04-01,33.43,7.03
S005,2023-05-01,33.25,7.42
S005,2023-06-01,31.0,6.43
S005,2023-07-01,28.2,6.3
S005,2023-08-01,29.48,6.95
S005,2023-09-01,21.63,5.19
S005,2023-10-01,22.65,5.52
S005,2023-11-01,27.19,5.11
S005,2023-12-01,23.67,5.73
S005,2024-01-01,26.42,6.12
S005,2024-02-01,27.01,5.57
S005,2024-03-01,27.29,6.05
S005,2024-04-01,27.36,5.83
S005,2024-05-01,27.0,5.92
S005,2024-06-01,26.47,5.61
S005,2024-07-01,23.15,5.31
S005,2024-08-01,24.48,4.91
S005,2024-09-01,22.95,5.0
S005,2024-10-01,22.71,5.54
S005,2024-11-01,23.69,5.28
S005,2024-12-01,22.36,5.64
S006,2019-01-01,24.83,5.06
S006,2019-02-01,24.14,4.59
S006,2019-03-01,25.24,5.04
S006,2019-04-01,24.45,4.61
S006,2019-05-01,24.78,4.47
S006,2019-06-01,22.2,4.32
S006,2019-07-01,23.48,3.81
S006,2019-08-01,21.33,3.79
S006,2019-09-01,22.66,3.51
S006,2019-10-01,20.29,4.12
S006,2019-11-01,24.21,4.09
S006,2019-12-01,22.03,4.83
S006,2020-01-01,21.69,3.75
S006,2020-02-01,25.26,4.37
S006,2020-03-01,23.33,4.78
S006,2020-04-01,24.96,4.35
S006,2020-05-01,21.94,4.68
S006,2020-06-01,23.84,4.23
S006,2020-07-01,24.63,3.79
S006,2020-08-01,18.84,3.8
S006,2020-09-01,20.8,4.04
S006,2020-10-01,20.77,4.11
S006,2020-11-01,19.99,4.55
S006,2020-12-01,22.74,4.6
S006,2021-01-01,24.38,4.55
S006,2021-02-01,25.45,4.66
S006,2021-03-01,25.83,4.96
S006,2021-04-01,24.89,4.74
S006,2021-05-01,23.73,4.85
S006,2021-06-01,24.51,5.06
S006,2021-07-01,24.47,3.94
S006,2021-08-01,23.99,4.05
S006,2021-09-01,24.79,4.02
S006,2021-10-01,23.13,3.69
S006,2021-11-01,23.85,3.64
S006,2021-12-01,23.15,4.74
S006,2022-01-01,27.71,4.79
S006,2022-02-01,25.81,4.76
S006,2022-03-01,27.52,4.47
S006,2022-04-01,29.84,4.97
S006,2022-05-01,26.53,4.61
S006,2022-06-01,26.17,3.84
S006,2022-07-01,24.49,4.1
S006,2022-08-01,22.62,4.11
S006,2022-09-01,26.55,4.34
S006,2022-10-01,23.27,4.36
S006,2022-11-01,26.96,4.58
S006,2022-12-01,25.95,4.26
S006,2023-01-01,27.91,4.72
S006,2023-02-01,28.93,4.9
S006,2023-03-01,25.59,4.11
S006,2023-04-01,25.72,4.29
S006,2023-05-01,26.13,3.92
S006,2023-06-01,24.62,4.03
S006,2023-07-01,20.04,3.68
S006,2023-08-01,19.8,3.84
S006,2023-09-01,20.8,3.5
S006,2023-10-01,20.25,4.35
S006,2023-11-01,23.61,3.95
S006,2023-12-01,21.19,4.26
S006,2024-01-01,23.05,4.07
S006,2024-02-01,22.48,3.98
S006,2024-03-01,23.73,4.72
S006,2024-04-01,22.14,4.95
S006,2024-05-01,20.3,3.93
S006,2024-06-01,21.47,4.54
S006,2024-07-01,22.66,3.94
S006,2024-08-01,21.02,3.95
S006,2024-09-01,18.88,4.19
S006,2024-10-01,20.38,3.49
S006,2024-11-01,22.35,4.49
S006,2024-12-01,20.2,4.34
S007,2019-01-01,26.12,4.25
S007,2019-02-01,25.29,4.08
S007,2019-03-01,26.34,4.67
S007,2019-04-01,26.93,4.17
S007,2019-05-01,26.54,3.31
S007,2019-06-01,26.11,3.5
S007,2019-07-01,22.84,3.53
S007,2019-08-01,20.71,4.11
S007,2019-09-01,21.68,3.82
S007,2019-10-01,22.58,3.9
S007,2019-11-01,23.5,3.48
S007,2019-12-01,25.88,3.87
S007,2020-01-01,23.05,4.04
S007,2020-02-01,28.37,4.53
S007,2020-03-01,25.86,4.21
S007,2020-04-01,25.63,4.9
S007,2020-05-01,25.96,4.3
S007,2020-06-01,25.93,4.09
S007,2020-07-01,22.99,3.81
S007,2020-08-01,22.54,3.75
S007,2020-09-01,23.47,3.73
S007,2020-10-01,23.75,3.73
S007,2020-11-01,23.5,3.27
S007,2020-12-01,25.76,4.12
S007,2021-01-01,26.88,3.3
S007,2021-02-01,29.25,4.24
S007,2021-03-01,28.05,4.01
S007,2021-04-01,27.03,3.96
S007,2021-05-01,24.45,4.74
S007,2021-06-01,24.1,4.08
S007,2021-07-01,24.69,4.02
S007,2021-08-01,22.88,3.87
S007,2021-09-01,25.99,3.7
S007,2021-10-01,22.95,4.07
S007,2021-11-01,25.04,4.22
S007,2021-12-01,25.34,3.67
S007,2022-01-01,27.83,3.82
S007,2022-02-01,26.57,4.05
S007,2022-03-01,26.29,4.42
S007,2022-04-01,26.6,4.4
S007,2022-05-01,27.8,4.3
S007,2022-06-01,24.02,4.31
S007,2022-07-01,25.17,3.5
S007,2022-08-01,23.55,3.97
S007,2022-09-01,21.94,4.13
S007,2022-10-01,22.43,3.8
S007,2022-11-01,23.12,3.87
S007,2022-12-01,22.74,3.59
S007,2023-01-01,27.77,3.91
S007,2023-02-01,24.63,3.63
S007,2023-03-01,25.42,3.92
S007,2023-04-01,28.58,4.58
S007,2023-05-01,24.35,4.84
S007,2023-06-01,25.86,3.92
S007,2023-07-01,19.63,4.55
S007,2023-08-01,20.57,3.26
S007,2023-09-01,23.92,4.45
S007,2023-10-01,24.73,3.93
S007,2023-11-01,24.28,4.12
S007,2023-12-01,25.52,4.1
S007,2024-01-01,25.54,4.15
S007,2024-02-01,24.98,4.19
S007,2024-03-01,23.84,4.29
S007,2024-04-01,24.63,3.95
S007,2024-05-01,25.65,4.59
S007,2024-06-01,25.76,3.55
S007,2024-07-01,21.9,4.15
S007,2024-08-01,21.18,3.69
S007,2024-09-01,23.21,3.43
S007,2024-10-01,22.81,3.36
S007,2024-11-01,22.48,3.96
S007,2024-12-01,21.99,4.15
S008,2019-01-01,33.26,7.26
S008,2019-02-01,34.36,7.61
S008,2019-03-01,34.48,7.11
S008,2019-04-01,34.2,7.36
S008,2019-05-01,33.36,7.1
S008,2019-06-01,31.24,6.74
S008,2019-07-01,29.18,7.32
S008,2019-08-01,28.69,6.47
S008,2019-09-01,29.21,6.91
S008,2019-10-01,30.11,7.06
S008,2019-11-01,30.28,6.87
S008,2019-12-01,31.03,7.58
S008,2020-01-01,31.51,7.18
S008,2020-02-01,34.97,7.32
S008,2020-03-01,34.01,7.2
S008,2020-04-01,34.09,7.16
S008,2020-05-01,34.73,7.75
S008,2020-06-01,31.45,6.53
S008,2020-07-01,31.16,7.56
S008,2020-08-01,29.35,7.17
S008,2020-09-01,32.8,6.47
S008,2020-10-01,31.41,7.17
S008,2020-11-01,30.72,6.73
S008,2020-12-01,31.42,6.64
S008,2021-01-01,32.31,6.72
S008,2021-02-01,34.07,6.97
S008,2021-03-01,34.64,6.77
S008,2021-04-01,34.52,7.45
S008,2021-05-01,30.3,7.2
S008,2021-06-01,34.13,6.58
S008,2021-07-01,33.8,6.92
S008,2021-08-01,29.5,6.66
S008,2021-09-01,31.13,6.66
S008,2021-10-01,32.24,6.15
S008,2021-11-01,32.42,6.12
S008,2021-12-01,33.0,6.42
S008,2022-01-01,33.07,7.21
S008,2022-02-01,36.54,7.13
S008,2022-03-01,33.53,6.89
S008,2022-04-01,36.72,6.99
S008,2022-05-01,37.65,6.96
S008,2022-06-01,33.46,6.6
S008,2022-07-01,32.37,6.49
S008,2022-08-01,32.5,6.72
S008,2022-09-01,29.99,5.99
S008,2022-10-01,28.68,6.58
S008,2022-11-01,24.7,4.67
S008,2022-12-01,27.94,6.22
S008,2023-01-01,28.35,5.87
S008,2023-02-01,29.21,5.7
S008,2023-03-01,30.73,5.68
S008,2023-04-01,29.49,5.83
S008,2023-05-01,27.35,5.92
S008,2023-06-01,27.09,5.24
S008,2023-07-01,27.16,5.05
S008,2023-08-01,25.67,5.21
S008,2023-09-01,26.98,5.31
S008,2023-10-01,25.59,5.46
S008,2023-11-01,28.44,5.49
S008,2023-12-01,27.37,5.08
S008,2024-01-01,26.76,5.53
S008,2024-02-01,28.17,5.67
S008,2024-03-01,29.44,5.93
S008,2024-04-01,29.41,5.95
S008,2024-05-01,36.12,6.32
S008,2024-06-01,33.62,6.72
S008,2024-07-01,32.21,6.79
S008,2024-08-01,35.59,6.87
S008,2024-09-01,32.71,6.91
S008,2024-10-01,33.52,6.4
S008,2024-11-01,33.11,6.52
S008,2024-12-01,34.45,6.81
S009,2019-01-01,20.39,6.73
S009,2019-02-01,21.53,7.19
S009,2019-03-01,22.57,6.43
S009,2019-04-01,17.05,7.12
S009,2019-05-01,18.09,6.66
S009,2019-06-01,17.39,6.04
S009,2019-07-01,18.96,6.65
S009,2019-08-01,16.55,5.54
S009,2019-09-01,16.33,6.39
S009,2019-10-01,15.19,6.37
S009,2019-11-01,18.12,6.6
S009,2019-12-01,19.32,6.28
S009,2020-01-01,21.94,6.68
S009,2020-02-01,20.84,6.56
S009,2020-03-01,20.48,6.61
S009,2020-04-01,20.62,7.35
S009,2020-05-01,18.09,6.24
S009,2020-06-01,21.35,6.51
S009,2020-07-01,17.14,6.74
S009,2020-08-01,16.5,6.86
S009,2020-09-01,18.16,6.13
S009,2020-10-01,20.65,6.13
S009,2020-11-01,19.26,6.52
S009,2020-12-01,21.1,7.04
S009,2021-01-01,20.19,6.5
S009,2021-02-01,21.57,6.63
S009,2021-03-01,24.16,6.92
S009,2021-04-01,20.33,6.89
S009,2021-05-01,18.12,6.43
S009,2021-06-01,20.95,6.38
S009,2021-07-01,16.57,6.59
S009,2021-08-01,19.19,6.53
S009,2021-09-01,18.64,6.05
S009,2021-10-01,15.28,6.77
S009,2021-11-01,17.66,6.35
S009,2021-12-01,21.14,6.74
S009,2022-01-01,20.83,7.38
S009,2022-02-01,19.91,7.11
S009,2022-03-01,21.23,6.96
S009,2022-04-01,23.17,6.99
S009,2022-05-01,20.95,7.05
S009,2022-06-01,18.6,6.32
S009,2022-07-01,16.58,5.84
S009,2022-08-01,20.5,5.99
S009,2022-09-01,16.81,6.19
S009,2022-10-01,17.87,6.56
S009,2022-11-01,19.44,6.25
S009,2022-12-01,18.89,6.66
S009,2023-01-01,19.77,7.21
S009,2023-02-01,21.61,7.06
S009,2023-03-01,22.14,7.23
S009,2023-04-01,21.15,6.45
S009,2023-05-01,20.74,6.53
S009,2023-06-01,18.35,6.75
S009,2023-07-01,20.0,6.43
S009,2023-08-01,17.88,6.83
S009,2023-09-01,17.51,7.06
S009,2023-10-01,18.26,5.79
S009,2023-11-01,19.27,6.54
S009,2023-12-01,21.08,6.78
S009,2024-01-01,19.94,6.36
S009,2024-02-01,20.56,6.58
S009,2024-03-01,20.27,7.05
S009,2024-04-01,23.38,6.95
S009,2024-05-01,18.35,6.86
S009,2024-06-01,20.94,6.39
S009,2024-07-01,17.94,6.43
S009,2024-08-01,16.24,6.51
S009,2024-09-01,16.96,6.4
S009,2024-10-01,16.08,6.18
S009,2024-11-01,19.23,6.31
S009,2024-12-01,21.73,6.46
S010,2019-01-01,21.19,8.06
S010,2019-02-01,19.46,7.36
S010,2019-03-01,19.57,8.31
S010,2019-04-01,20.76,8.66
S010,2019-05-01,20.01,7.83
S010,2019-06-01,22.17,8.23
S010,2019-07-01,21.95,7.84
S010,2019-08-01,19.66,7.55
S010,2019-09-01,19.02,7.16
S010,2019-10-01,16.89,7.37
S010,2019-11-01,18.6,7.34
S010,2019-12-01,20.9,7.92
S010,2020-01-01,20.99,8.22
S010,2020-02-01,19.87,7.83
S010,2020-03-01,20.78,7.37
S010,2020-04-01,21.46,7.85
S010,2020-05-01,23.12,7.97
S010,2020-06-01,18.32,8.19
S010,2020-07-01,20.69,7.65
S010,2020-08-01,17.78,7.08
S010,2020-09-01,17.3,7.66
S010,2020-10-01,20.95,7.83
S010,2020-11-01,18.12,7.14
S010,2020-12-01,20.07,7.1
S010,2021-01-01,21.34,7.74
S010,2021-02-01,20.89,7.41
S010,2021-03-01,22.62,7.77
S010,2021-04-01,19.83,7.03
S010,2021-05-01,20.81,8.31
S010,2021-06-01,22.35,7.49
S010,2021-07-01,17.62,7.69
S010,2021-08-01,16.29,7.53
S010,2021-09-01,18.67,7.76
S010,2021-10-01,20.82,7.58
S010,2021-11-01,20.39,7.51
S010,2021-12-01,22.36,8.01
S010,2022-01-01,25.07,7.81
S010,2022-02-01,26.68,8.08
S010,2022-03-01,24.67,7.98
S010,2022-04-01,20.8,8.43
S010,2022-05-01,24.81,7.97
S010,2022-06-01,22.8,8.06
S010,2022-07-01,19.36,7.6
S010,2022-08-01,22.16,7.27
S010,2022-09-01,21.14,7.2
S010,2022-10-01,21.67,7.63
S010,2022-11-01,19.28,8.1
S010,2022-12-01,21.6,7.66
S010,2023-01-01,24.01,8.4
S010,2023-02-01,22.91,8.18
S010,2023-03-01,25.35,8.41
S010,2023-04-01,24.7,8.05
S010,2023-05-01,22.46,8.08
S010,2023-06-01,21.1,7.03
S010,2023-07-01,22.36,8.03
S010,2023-08-01,17.43,7.34
S010,2023-09-01,21.63,8.22
S010,2023-10-01,21.0,7.43
S010,2023-11-01,21.43,8.17
S010,2023-12-01,21.74,7.66
S010,2024-01-01,22.98,7.77
S010,2024-02-01,24.62,8.65
S010,2024-03-01,25.19,8.13
S010,2024-04-01,24.0,7.7
S010,2024-05-01,25.03,8.03
S010,2024-06-01,22.43,8.86
S010,2024-07-01,22.15,7.53
S010,2024-08-01,20.33,7.99
S010,2024-09-01,20.87,7.17
S010,2024-10-01,22.35,7.44
S010,2024-11-01,24.51,8.08
S010,2024-12-01,22.03,8.29
S011,2019-01-01,29.08,4.8
S011,2019-02-01,30.43,4.4
S011,2019-03-01,29.01,5.0
S011,2019-04-01,29.21,4.53
S011,2019-05-01,27.54,4.67
S011,2019-06-01,31.07,4.07
S011,2019-07-01,27.01,4.67
S011,2019-08-01,26.12,4.27
S011,2019-09-01,24.38,4.22
S011,2019-10-01,25.96,4.43
S011,2019-11-01,28.76,5.02
S011,2019-12-01,28.84,4.49
S011,2020-01-01,29.27,4.44
S011,2020-02-01,30.22,4.56
S011,2020-03-01,30.23,5.09
S011,2020-04-01,30.79,5.23
S011,2020-05-01,33.54,4.74
S011,2020-06-01,27.38,4.45
S011,2020-07-01,31.51,4.47
S011,2020-08-01,27.34,4.22
S011,2020-09-01,29.83,4.49
S011,2020-10-01,28.48,4.26
S011,2020-11-01,28.98,4.2
S011,2020-12-01,32.99,4.53
S011,2021-01-01,33.39,5.24
S011,2021-02-01,33.8,4.76
S011,2021-03-01,33.17,4.92
S011,2021-04-01,30.94,4.99
S011,2021-05-01,29.8,5.14
S011,2021-06-01,29.87,4.69
S011,2021-07-01,29.99,4.4
S011,2021-08-01,29.72,4.23
S011,2021-09-01,29.87,3.93
S011,2021-10-01,29.02,4.95
S011,2021-11-01,28.07,4.28
S011,2021-12-01,31.34,4.68
S011,2022-01-01,32.09,4.93
S011,2022-02-01,33.25,5.22
S011,2022-03-01,33.18,4.86
S011,2022-04-01,33.31,5.46
S011,2022-05-01,31.37,4.49
S011,2022-06-01,32.23,4.59
S011,2022-07-01,26.31,4.73
S011,2022-08-01,28.03,4.34
S011,2022-09-01,29.07,4.39
S011,2022-10-01,29.9,4.24
S011,2022-11-01,30.34,4.4
S011,2022-12-01,31.68,4.81
S011,2023-01-01,30.16,5.1
S011,2023-02-01,31.5,5.13
S011,2023-03-01,33.12,5.48
S011,2023-04-01,31.96,4.78
S011,2023-05-01,31.54,4.69
S011,2023-06-01,31.77,4.14
S011,2023-07-01,27.99,4.16
